,Event,R,Rn,Ry
2325,MAX.UNC_R3_VNA_CREDITS_ACQUIRED.AD,0.8107322231033571,0.7697095435684648,0.8167222053923053
2326,MAX.UNC_R3_VNA_CREDITS_ACQUIRED.BL,0.9883690192968544,0.9875518672199171,0.9884883368676158
2327,MAX.UNC_R3_VNA_CREDITS_REJECT.DRS,1.0,1.0,1.0
2328,MAX.UNC_R3_VNA_CREDITS_REJECT.HOM,1.0,1.0,1.0
2329,MAX.UNC_R3_VNA_CREDITS_REJECT.NDR,1.0,1.0,1.0
2330,MAX.UNC_R3_VNA_CREDITS_REJECT.SNP,1.0,1.0,1.0
2331,MAX.UOPS_DISPATCHED_PORT.PORT_0,0.9841395717684377,0.9979253112033195,0.9821266282944562
2332,MAX.UOPS_DISPATCHED_PORT.PORT_0_CORE,0.9733016124768702,1.0,0.9694032111481369
2333,MAX.UOPS_DISPATCHED_PORT.PORT_1,0.7361882104150146,1.0,0.6976673735231748
2334,MAX.UOPS_DISPATCHED_PORT.PORT_1_CORE,0.7771609833465504,0.9979253112033195,0.7449257800666464
2335,MAX.UOPS_DISPATCHED_PORT.PORT_2,0.6346814697330161,0.46473029045643155,0.659497122084217
2336,MAX.UOPS_DISPATCHED_PORT.PORT_2_CORE,0.634152788791964,0.46473029045643155,0.6588912450772493
2337,MAX.UOPS_DISPATCHED_PORT.PORT_3,0.634152788791964,0.46473029045643155,0.6588912450772493
2338,MAX.UOPS_DISPATCHED_PORT.PORT_3_CORE,0.6325667459688078,0.46265560165975106,0.6573765525598304
2339,MAX.UOPS_DISPATCHED_PORT.PORT_4,0.6156489558551415,0.46473029045643155,0.6376855498333838
2340,MAX.UOPS_DISPATCHED_PORT.PORT_4_CORE,0.7250859106529209,0.5746887966804979,0.747046349591033
2341,MAX.UOPS_DISPATCHED_PORT.PORT_5,0.8636003172085647,0.8900414937759336,0.8597394728870039
2342,MAX.UOPS_DISPATCHED_PORT.PORT_5_CORE,0.8947924927306371,0.9626556016597511,0.8848833686761587
2343,MAX.UOPS_EXECUTED.CORE,0.7057890563045203,0.4460580912863071,0.7437140260527113
2344,MAX.UOPS_EXECUTED.CORE_CYCLES_GE_1,0.8752312979117103,0.8547717842323651,0.8782187215995153
2345,MAX.UOPS_EXECUTED.CORE_CYCLES_GE_2,0.7100185038329369,0.47925311203319504,0.7437140260527113
2346,MAX.UOPS_EXECUTED.CORE_CYCLES_GE_3,0.753899021940259,0.5705394190871369,0.780672523477734
2347,MAX.UOPS_EXECUTED.CORE_CYCLES_GE_4,0.7472905101771081,0.5663900414937759,0.7737049378976067
2348,MAX.UOPS_EXECUTED.CORE_CYCLES_NONE,0.8220988633359767,0.7510373443983402,0.8324750075734626
2349,MAX.UOPS_EXECUTED.CYCLES_GE_1_UOP_EXEC,0.9307427967221782,0.9730290456431535,0.9245683126325356
2350,MAX.UOPS_EXECUTED.CYCLES_GE_2_UOPS_EXEC,0.7063177372455723,0.5871369294605809,0.7237200848227809
2351,MAX.UOPS_EXECUTED.CYCLES_GE_3_UOPS_EXEC,0.6510705789056305,0.516597510373444,0.6707058467131173
2352,MAX.UOPS_EXECUTED.CYCLES_GE_4_UOPS_EXEC,0.6505418979645784,0.5269709543568465,0.6685852771887307
2353,MAX.UOPS_EXECUTED.STALL_CYCLES,0.985461274121068,0.9771784232365145,0.9866707058467131
2354,MAX.UOPS_EXECUTED.THREAD,0.7716098334655036,0.6514522821576764,0.7891548015752802
2355,MAX.UOPS_ISSUED.ANY,0.8324081416864922,0.8568464730290456,0.8288397455316571
2356,MAX.UOPS_ISSUED.CORE_STALL_CYCLES,0.9875759978852763,0.9854771784232366,0.9878824598606483
2357,MAX.UOPS_ISSUED.FLAGS_MERGE,0.8691514670896114,0.9896265560165975,0.8515601332929416
2358,MAX.UOPS_ISSUED.SINGLE_MUL,0.7332804652392281,1.0,0.6943350499848531
2359,MAX.UOPS_ISSUED.SLOW_LEA,0.9962992334126355,1.0,0.9957588609512269
2360,MAX.UOPS_ISSUED.STALL_CYCLES,0.9992069785884219,1.0,0.9990911844895486
2361,MAX.UOPS_RETIRED.ALL,0.9495109701295268,0.995850622406639,0.9427446228415631
2362,MAX.UOPS_RETIRED.CORE_STALL_CYCLES,0.985196933650542,0.9854771784232366,0.9851560133292941
2363,MAX.UOPS_RETIRED.RETIRE_SLOTS,0.9693365054189796,0.9875518672199171,0.9666767646167828
2364,MAX.UOPS_RETIRED.STALL_CYCLES,0.9955062120010574,0.991701244813278,0.9960617994547107
2365,MAX.UOPS_RETIRED.TOTAL_CYCLES,0.9592915675389903,0.9024896265560166,0.9675855801272342
2366,MIN.ARITH.FPU_DIV,0.9339148823684906,1.0,0.9242653741290519
2367,MIN.ARITH.FPU_DIV_ACTIVE,0.9177901136664023,1.0,0.9057861254165405
2368,MIN.BACLEARS.ANY,0.9907480835315887,0.9896265560165975,0.9909118448954862
2369,MIN.BR_INST_EXEC.ALL_BRANCHES,0.9981496167063177,0.9979253112033195,0.9981823689790973
2370,MIN.BR_INST_EXEC.ALL_CONDITIONAL,0.9989426381178959,0.9979253112033195,0.9990911844895486
2371,MIN.BR_INST_EXEC.ALL_DIRECT_JMP,0.993127147766323,0.991701244813278,0.9933353529233565
2372,MIN.BR_INST_EXEC.ALL_DIRECT_NEAR_CALL,0.992598466825271,0.9979253112033195,0.9918206604059376
2373,MIN.BR_INST_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET,1.0,1.0,1.0
2374,MIN.BR_INST_EXEC.ALL_INDIRECT_NEAR_RETURN,0.9970922548242136,1.0,0.9966676764616783
2375,MIN.BR_INST_EXEC.NONTAKEN_CONDITIONAL,0.8297647369812319,0.8443983402489627,0.8276279915177219
2376,MIN.BR_INST_EXEC.TAKEN_CONDITIONAL,0.9994713190589479,0.9979253112033195,0.9996970614965162
2377,MIN.BR_INST_EXEC.TAKEN_DIRECT_JUMP,0.9896907216494846,0.983402489626556,0.9906089063920024
2378,MIN.BR_INST_EXEC.TAKEN_DIRECT_NEAR_CALL,0.9881046788263284,0.970954356846473,0.9906089063920024
2379,MIN.BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,1.0,1.0,1.0
2380,MIN.BR_INST_EXEC.TAKEN_INDIRECT_NEAR_CALL,0.25746761829236053,0.44190871369294604,0.23053620115116633
2381,MIN.BR_INST_EXEC.TAKEN_INDIRECT_NEAR_RETURN,0.9936558287073751,1.0,0.9927294759163889
2382,MIN.BR_INST_RETIRED.ALL_BRANCHES,0.9888977002379065,0.983402489626556,0.9897000908815511
2383,MIN.BR_INST_RETIRED.ALL_BRANCHES_PEBS,0.9978852762357917,0.9979253112033195,0.9978794304756134
2384,MIN.BR_INST_RETIRED.CONDITIONAL,0.999735659529474,1.0,0.9996970614965162
2385,MIN.BR_INST_RETIRED.FAR_BRANCH,0.7176843774781919,0.8775933609958506,0.6943350499848531
2386,MIN.BR_INST_RETIRED.NEAR_CALL,0.9627279936558287,0.9979253112033195,0.957588609512269
2387,MIN.BR_INST_RETIRED.NEAR_RETURN,0.972244250594766,1.0,0.9681914571342017
2388,MIN.BR_INST_RETIRED.NEAR_TAKEN,0.9976209357652657,0.995850622406639,0.9978794304756134
